Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Archer,Lava Cake,Sunken,1,2,4,1,1191
1,Stargazer,Risk-It Biscuit,Sunken,1,0,10,1,911
2,Titan,Lava Cake,Sunken,1,0,2,1,598
3,Evincer,Echo Bolt,Sunken,1,0,0,1,426
4,Frost Knight,Vigor Flask,Sunken,1,2,15,1,1369
5,Evincer,Echo Bolt,Sunken,1,1,1,1,562
6,Titan,Lava Cake,Sunken,1,2,11,1,776
7,Vampire,Smoke Screen,Sunken,1,0,4,1,366
8,Dancer,Bandage,Sunken,1,2,16,1,1008
9,Evincer,Echo Bolt,Sunken,1,0,2,1,366
10,Cloudbreaker,Spring Plume,Sunken,1,1,22,1,1355
11,Titan,Lava Cake,Sunken,1,1,2,1,277
12,Evincer,Echo Bolt,Sunken,1,1,7,1,320
13,Frost Knight,Vigor Flask,Sunken,1,2,52,1,3497
14,Titan,Lava Cake,Sunken,1,0,0,1,377
15,Archer,Echo Bolt,Sunken,1,0,4,1,810
16,Evincer,Echo Bolt,Sunken,1,1,6,1,629
17,Titan,Lava Cake,Sunken,1,3,23,1,2041
18,Evincer,Echo Bolt,Sunken,1,0,11,1,654
19,Titan,Echo Bolt,Sunken,1,3,56,1,2945
20,Ranger,Hedge Seed,Sunken,1,0,15,1,1865
21,Evincer,Echo Bolt,Sunken,1,0,0,1,1261
22,Titan,Lava Cake,Sunken,1,1,6,1,585
23,Chronomancer,Flame Trap,Sunken,1,5,64,1,2287
24,Evincer,Echo Bolt,Sunken,1,0,0,1,327
25,Titan,Lava Cake,Sunken,1,0,2,1,269
26,Evincer,Echo Bolt,Sunken,1,0,5,1,195
27,Frost Knight,Vigor Flask,Sunken,1,1,16,1,432
28,Evincer,Echo Bolt,Sunken,1,0,4,1,558
29,Titan,Lava Cake,Sunken,1,0,4,1,761
30,Frost Knight,Vigor Flask,Sunken,1,1,44,1,857
31,Titan,Echo Bolt,Sunken,1,1,25,1,2312
32,Evincer,Echo Bolt,Sunken,1,1,2,1,958
33,Titan,Lava Cake,Sunken,1,0,2,1,1041
34,Frost Knight,Vigor Flask,Sunken,1,2,68,0,0
35,Evincer,Echo Bolt,Sunken,1,1,11,1,368
36,Cloudbreaker,Echo Bolt,Sunken,1,1,7,1,943
37,Titan,Lava Cake,Sunken,1,0,0,1,261
38,Evincer,Echo Bolt,Sunken,1,1,4,0,0
39,Titan,Lava Cake,Sunken,1,1,5,0,0
40,Archer,Risk-It Biscuit,Sunken,1,0,0,0,0
41,Titan,Echo Bolt,Sunken,1,0,0,0,0
42,Archer,Risk-It Biscuit,Dustworks,2,0,10,1,1195
43,Evincer,Echo Bolt,Dustworks,2,0,6,1,650
44,Ranger,Spring Plume,Dustworks,2,1,32,1,2074
45,Spectre,Vigor Flask,Dustworks,2,2,16,1,807
46,Ranger,Hedge Seed,Dustworks,2,0,0,1,185
47,Evincer,Echo Bolt,Dustworks,2,0,20,1,1847
48,Spectre,Vigor Flask,Dustworks,2,1,8,1,559
49,Ranger,Hedge Seed,Dustworks,2,1,20,1,1088
50,Ranger,Bandage,Dustworks,2,3,31,1,1808
51,Spectre,Vigor Flask,Dustworks,2,3,91,0,0
52,Ranger,Spring Plume,Dustworks,2,0,8,1,643
53,Ranger,Smoke Screen,Dustworks,2,1,12,1,372
54,Ranger,Smoke Screen,Dustworks,2,2,20,1,709
55,Ranger,Lava Cake,Dustworks,2,0,6,1,441
56,Titan,Risk-It Biscuit,Dustworks,2,0,9,1,429
57,Spectre,Spring Plume,Dustworks,2,1,10,1,533
58,Ranger,Bandage,Dustworks,2,0,0,1,180
59,Cloudbreaker,Risk-It Biscuit,Dustworks,2,1,0,0,0
60,Ranger,Smoke Screen,Dustworks,2,0,2,0,0
61,Spectre,Spring Plume,Dustworks,2,0,0,0,0
62,Frost Knight,Smoke Screen,Sunken,3,0,4,1,492
63,Griefer,Vigor Flask,Sunken,3,3,27,1,2027
64,Hexblade,Flame Trap,Sunken,3,1,6,1,798
65,Archer,Accelerator,Sunken,3,0,0,1,493
66,Spectre,Spring Plume,Sunken,3,0,0,1,433
67,Skirmisher,Accelerator,Sunken,3,4,14,1,1569
68,Archer,Accelerator,Sunken,3,0,0,1,326
69,Spectre,Spring Plume,Sunken,3,0,0,1,553
70,Hexblade,Lava Cake,Sunken,3,2,8,1,1129
71,Archer,Accelerator,Sunken,3,0,2,1,719
72,Titan,Hedge Seed,Sunken,3,0,2,1,381
73,Archer,Accelerator,Sunken,3,1,9,1,836
74,Griefer,Vigor Flask,Sunken,3,0,10,1,540
75,Titan,Hedge Seed,Sunken,3,0,2,1,277
76,Titan,Smoke Screen,Sunken,3,7,56,1,2680
77,Hexblade,Lava Cake,Sunken,3,0,2,1,284
78,Titan,Hedge Seed,Sunken,3,0,2,1,1029
79,Hexblade,Lava Cake,Sunken,3,1,12,1,794
80,Griefer,Vigor Flask,Sunken,3,2,12,1,1188
81,Archer,Accelerator,Sunken,3,0,0,1,384
82,Archer,Accelerator,Sunken,3,1,4,1,722
83,Hexblade,Lava Cake,Sunken,3,1,3,1,496
84,Griefer,Hedge Seed,Sunken,3,1,5,1,663
85,Griefer,Vigor Flask,Sunken,3,1,8,1,466
86,Hexblade,Lava Cake,Sunken,3,1,2,1,331
87,Archer,Accelerator,Sunken,3,0,0,1,206
88,Archer,Accelerator,Sunken,3,0,2,1,876
89,Griefer,Hedge Seed,Sunken,3,0,5,1,923
90,Hexblade,Lava Cake,Sunken,3,0,2,1,407
91,Griefer,Vigor Flask,Sunken,3,5,84,1,3489
92,Chronomancer,Risk-It Biscuit,Sunken,3,3,12,1,837
93,Hexblade,Risk-It Biscuit,Sunken,3,0,10,1,1079
94,Griefer,Hedge Seed,Sunken,3,0,0,1,314
95,Archer,Accelerator,Sunken,3,0,2,1,497
96,Griefer,Hedge Seed,Sunken,3,0,30,1,462
97,Alchemist,Echo Bolt,Sunken,3,5,43,1,2224
98,Hexblade,Risk-It Biscuit,Sunken,3,0,4,1,364
99,Champion,Echo Bolt,Sunken,3,0,5,1,443
100,Griefer,Hedge Seed,Sunken,3,0,2,1,314
101,Hexblade,Risk-It Biscuit,Sunken,3,0,2,1,794
102,Champion,Echo Bolt,Sunken,3,0,0,1,282
103,Griefer,Hedge Seed,Sunken,3,0,7,1,1839
104,Champion,Echo Bolt,Sunken,3,0,2,1,311
105,Hexblade,Vigor Flask,Sunken,3,1,42,1,803
106,Champion,Echo Bolt,Sunken,3,1,38,1,866
107,Griefer,Vigor Flask,Sunken,3,1,22,1,472
108,Cloudbreaker,Risk-It Biscuit,Sunken,3,3,31,1,695
109,Hexblade,Vigor Flask,Sunken,3,0,66,1,1264
110,Frost Knight,Vigor Flask,Sunken,3,1,11,1,819
111,Griefer,Vigor Flask,Sunken,3,1,17,1,728
112,Champion,Echo Bolt,Sunken,3,1,0,1,296
113,Griefer,Hedge Seed,Sunken,3,0,1,1,332
114,Titan,Flame Trap,Sunken,3,3,19,1,840
115,Griefer,Hedge Seed,Sunken,3,0,0,1,266
116,Champion,Echo Bolt,Sunken,3,1,26,1,482
117,Griefer,Vigor Flask,Sunken,3,0,6,1,307
118,Griefer,Hedge Seed,Sunken,3,2,56,1,839
119,Spectre,Vigor Flask,Sunken,3,2,38,1,990
120,Champion,Echo Bolt,Sunken,3,0,26,1,397
121,Hexblade,Vigor Flask,Sunken,3,0,4,1,481
122,Griefer,Vigor Flask,Sunken,3,5,84,1,2897
123,Champion,Echo Bolt,Sunken,3,2,60,1,2153
124,Champion,Echo Bolt,Sunken,3,1,21,1,265
125,Hexblade,Vigor Flask,Sunken,3,2,31,1,436
126,Griefer,Hedge Seed,Sunken,3,0,5,1,365
127,Champion,Echo Bolt,Sunken,3,1,15,1,336
128,Spectre,Vigor Flask,Sunken,3,1,29,1,950
129,Griefer,Hedge Seed,Sunken,3,0,1,1,606
130,Hexblade,Vigor Flask,Sunken,3,0,15,1,418
131,Champion,Echo Bolt,Sunken,3,1,0,1,436
132,Hexblade,Vigor Flask,Sunken,3,2,35,1,934
133,Champion,Echo Bolt,Sunken,3,1,19,1,491
134,Griefer,Hedge Seed,Sunken,3,0,5,1,422
135,Spectre,Vigor Flask,Sunken,3,0,0,1,452
136,Griefer,Hedge Seed,Sunken,3,0,10,1,337
137,Champion,Echo Bolt,Sunken,3,0,36,1,514
138,Ranger,Bandage,Sunken,3,1,17,1,509
139,Spectre,Vigor Flask,Sunken,3,2,66,0,0
140,Hexblade,Vigor Flask,Sunken,3,1,15,1,537
141,Griefer,Hedge Seed,Sunken,3,1,9,1,279
142,Champion,Echo Bolt,Sunken,3,1,28,1,571
143,Skirmisher,Risk-It Biscuit,Sunken,3,2,7,1,718
144,Griefer,Hedge Seed,Sunken,3,1,20,1,284
145,Griefer,Vigor Flask,Sunken,3,0,55,0,0
146,Hexblade,Vigor Flask,Sunken,3,0,0,0,0
147,Griefer,Hedge Seed,Sunken,3,0,0,1,284
148,Champion,Echo Bolt,Sunken,3,1,11,0,0
149,Griefer,Hedge Seed,Sunken,3,0,0,0,0
150,Frost Knight,Nox Bomb,Sunken,3,0,0,0,0
151,Frost Knight,Spring Plume,Bogpit,4,0,16,1,810
152,Griefer,Hedge Seed,Bogpit,4,0,8,1,1157
153,Hexblade,Vigor Flask,Bogpit,4,2,56,1,3063
154,Battlesmith,Vigor Flask,Bogpit,4,1,4,1,830
155,Spectre,Vigor Flask,Bogpit,4,0,0,1,266
156,Cloudbreaker,Echo Bolt,Bogpit,4,1,14,1,784
157,Titan,Vigor Flask,Bogpit,4,2,9,1,2370
158,Spectre,Vigor Flask,Bogpit,4,2,27,1,1387
159,Archer,Nox Bomb,Bogpit,4,4,39,1,2507
160,Battlesmith,Vigor Flask,Bogpit,4,0,8,1,827
161,Cloudbreaker,Echo Bolt,Bogpit,4,0,6,1,542
162,Battlesmith,Nox Bomb,Bogpit,4,0,0,1,464
163,Cloudbreaker,Echo Bolt,Bogpit,4,0,8,1,547
164,Battlesmith,Nox Bomb,Bogpit,4,1,7,1,573
165,Spectre,Vigor Flask,Bogpit,4,0,8,1,771
166,Battlesmith,Vigor Flask,Bogpit,4,1,6,1,893
167,Cloudbreaker,Echo Bolt,Bogpit,4,1,8,1,585
168,Spectre,Vigor Flask,Bogpit,4,2,39,1,1224
169,Evincer,Echo Bolt,Bogpit,4,0,10,1,739
170,Battlesmith,Vigor Flask,Bogpit,4,3,54,1,2023
171,Cloudbreaker,Echo Bolt,Bogpit,4,0,0,1,453
172,Hexblade,Vigor Flask,Bogpit,4,0,61,1,1545
173,Hexblade,Lava Cake,Bogpit,4,2,20,1,940
174,Cloudbreaker,Echo Bolt,Bogpit,4,0,6,1,706
175,Evincer,Echo Bolt,Bogpit,4,1,21,1,1004
176,Spectre,Vigor Flask,Bogpit,4,0,15,1,782
